0.26;0.48;9.90;-0.28;-0.21;-0.14
0.26;0.55;9.87;-0.07;0.14;0.00
0.30;0.55;9.94;-0.28;0.07;0.00
0.22;0.55;9.87;0.14;0.42;0.00
0.30;0.48;9.90;0.35;0.21;0.14
0.26;0.52;9.90;0.07;0.07;0.07
0.26;0.48;9.87;-0.21;0.00;-0.14
0.30;0.48;9.90;-0.49;0.00;0.00
0.26;0.52;9.87;-0.07;0.07;0.07
0.26;0.52;9.87;0.21;0.00;0.42
0.26;0.52;9.87;0.14;0.07;0.21
0.26;0.48;9.90;-0.56;0.07;0.00
0.30;0.48;9.83;-0.07;0.07;0.21
0.26;0.52;9.90;-0.07;0.07;0.00
0.30;0.48;9.90;-0.49;0.21;-0.14
0.26;0.55;9.87;0.70;0.07;0.14
0.30;0.52;9.90;-0.42;0.07;-0.07
0.30;0.48;9.94;-0.21;0.07;0.07
0.22;0.48;9.94;0.21;0.07;0.28
0.30;0.52;9.87;0.00;0.00;0.07
0.26;0.52;9.94;0.14;0.14;0.21
0.26;0.48;9.87;0.07;0.14;0.07
0.30;0.52;9.90;0.00;0.00;0.07
0.26;0.52;9.87;0.21;0.07;0.21
0.30;0.52;9.90;-0.21;0.07;0.07
0.30;0.48;9.87;0.63;0.21;0.21
0.26;0.52;9.90;-0.35;0.00;0.21
0.30;0.52;9.90;0.77;0.14;0.00
0.30;0.44;9.83;-1.46;0.07;-0.14
0.33;0.41;9.90;1.81;0.35;0.35
0.22;0.48;9.87;0.07;0.14;0.28
0.26;0.52;9.83;-0.35;0.00;0.21
0.26;0.52;9.90;-0.63;0.00;0.07
0.26;0.48;9.87;0.56;0.21;3.27
0.26;0.52;9.90;0.07;0.21;0.07
0.30;0.52;9.87;0.14;0.14;0.14
0.30;0.52;9.87;0.28;-0.14;-0.14
0.30;0.48;9.87;0.14;-0.14;0.21
0.30;0.48;9.90;0.97;0.28;0.77
0.26;0.52;9.90;1.81;3.69;3.06
0.26;0.55;9.90;0.07;7.03;2.92
0.26;0.48;9.90;-0.49;0.14;0.14
0.30;0.52;9.83;-0.21;0.63;0.14
0.26;0.48;9.87;-0.07;0.14;0.07
0.22;0.52;9.90;0.07;0.49;0.21
0.26;0.52;9.87;0.00;0.14;0.28
0.22;0.52;9.87;-0.07;0.07;0.21
0.18;0.52;9.87;0.00;0.07;-0.07
0.22;0.52;9.90;0.00;0.35;0.00
0.22;0.52;9.94;-0.28;0.42;0.07
0.26;0.52;9.87;0.07;0.49;0.00
0.26;0.48;9.87;0.07;0.14;0.21
0.22;0.52;9.90;0.00;0.14;0.00
0.26;0.52;9.90;0.07;0.21;0.42
0.26;0.52;9.87;-0.07;0.49;0.07
0.22;0.55;9.83;0.00;0.63;0.35
0.22;0.52;9.90;-0.07;0.21;0.00
0.26;0.48;9.87;0.00;0.21;0.07
0.26;0.52;9.94;0.14;0.28;0.00
0.22;0.55;9.90;-0.07;0.56;0.21
0.22;0.52;9.87;-0.28;0.07;0.21
0.22;0.52;9.90;0.00;0.42;0.07
0.22;0.48;9.90;-0.21;0.35;0.00
0.22;0.52;9.90;-0.14;1.60;0.14
0.22;0.48;9.87;-0.21;0.07;-0.07
0.22;0.48;9.94;0.00;0.97;0.14
0.18;0.52;9.90;-0.07;-0.07;0.21
0.18;0.48;9.90;0.00;0.14;-0.07
0.22;0.48;9.90;-0.21;0.14;0.21
0.22;0.55;9.90;0.00;2.64;0.56
0.18;0.48;9.90;-0.14;0.07;0.35
0.22;0.52;9.87;-0.21;1.25;0.63
0.18;0.52;9.94;0.00;0.28;0.07
0.18;0.48;9.87;-0.21;0.07;0.00
0.18;0.52;9.90;-0.28;0.00;0.14
0.18;0.52;9.90;-0.07;-0.14;0.35
0.15;0.52;9.83;-0.21;0.21;0.07
0.15;0.52;9.87;-0.28;0.21;0.35
0.18;0.48;9.90;-0.28;0.14;0.21
0.18;0.52;9.87;0.00;0.00;0.21
0.18;0.55;9.94;0.07;-0.14;0.14
0.22;0.52;9.90;-0.14;0.07;0.07
0.18;0.48;9.90;-0.14;0.21;0.14
0.18;0.52;9.87;-0.28;0.00;0.14
0.22;0.52;9.87;-0.21;0.07;0.14
0.22;0.48;9.90;0.00;0.14;0.07
0.18;0.52;9.83;0.00;0.35;0.35
0.18;0.48;9.90;-0.07;-0.14;0.28
0.22;0.48;9.90;-0.21;0.07;0.28
0.22;0.55;9.90;0.14;-0.14;0.14
0.18;0.52;9.90;-0.07;0.21;0.21
0.18;0.52;9.90;0.00;0.07;0.21
0.22;0.48;9.90;-0.07;0.07;0.07
0.22;0.48;9.90;0.07;0.14;0.00
0.18;0.52;9.87;0.07;0.00;0.00
0.15;0.48;9.90;-0.21;0.07;0.14
0.22;0.48;9.87;-0.21;0.00;0.07
0.18;0.52;9.90;-0.07;0.07;0.28
0.15;0.52;9.90;-0.07;1.11;0.21
0.15;0.52;9.90;0.14;1.46;0.28
0.11;0.55;9.87;-0.07;0.28;0.14
0.15;0.55;9.94;0.00;0.00;0.28
0.18;0.48;9.87;-0.14;0.56;0.49
0.18;0.48;9.94;-0.07;3.55;1.39
0.15;0.48;9.87;-0.07;1.18;-0.07
0.11;0.48;9.90;-0.21;1.95;-1.18
0.11;0.48;9.94;0.07;0.49;-0.28
0.11;0.48;9.87;0.00;0.07;0.14
0.11;0.52;9.87;-0.07;0.07;0.28
